City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
223,Khomeyn,33.6423,50.0789,37.78,74,0,1.9,IR,2021-01-16 19:49:53,clear sky
224,Rafaela,-31.2503,-61.4867,82.29,55,100,13.67,AR,2021-01-16 19:49:53,overcast clouds
225,Mabaruma,8.2,-59.7833,82.0,68,100,7.56,GY,2021-01-16 19:49:53,overcast clouds
226,Bako,5.7833,36.5667,70.07,46,98,3.36,ET,2021-01-16 19:49:53,overcast clouds
227,Sao Francisco,-15.9486,-44.8644,78.82,86,100,2.24,BR,2021-01-16 19:49:53,light rain
228,Arona,28.0996,-16.681,64.99,59,20,11.5,ES,2021-01-16 19:49:53,few clouds
229,Anjar,23.1333,70.0167,67.1,25,0,10.96,IN,2021-01-16 19:49:53,clear sky
230,Maragogi,-9.0122,-35.2225,80.53,68,35,10.07,BR,2021-01-16 19:46:44,scattered clouds
231,Quixada,-4.9714,-39.0153,90.36,39,91,4.52,BR,2021-01-16 19:49:53,overcast clouds
232,Nisia Floresta,-6.0911,-35.2086,84.2,54,0,19.57,BR,2021-01-16 19:49:54,clear sky
233,Mendoza,-32.8908,-68.8272,73.4,25,0,8.05,AR,2021-01-16 19:49:14,clear sky
234,Choma,-16.8065,26.9531,66.15,97,100,4.83,ZM,2021-01-16 19:49:54,moderate rain
235,Menongue,-14.6585,17.691,64.47,72,100,0.31,AO,2021-01-16 19:49:54,overcast clouds
236,Kisangani,0.5167,25.2,71.89,88,23,1.48,CD,2021-01-16 19:49:54,few clouds
237,Aguimes,27.9054,-15.4461,64.4,63,40,18.41,ES,2021-01-16 19:49:54,scattered clouds
238,Tingi,-11.3,35.0333,65.46,91,100,3.09,TZ,2021-01-16 19:49:54,overcast clouds
239,Acarau,-2.8856,-40.12,83.14,70,0,17.65,BR,2021-01-16 19:49:54,clear sky
240,Praia,14.9215,-23.5087,71.6,68,0,17.27,CV,2021-01-16 19:49:54,clear sky
241,Xuddur,4.1213,43.8894,76.32,39,11,10.45,SO,2021-01-16 19:49:54,few clouds
242,Porto Seguro,-16.4497,-39.0647,82.4,61,40,10.36,BR,2021-01-16 19:49:54,scattered clouds
243,Goure,13.9835,10.2704,69.44,19,0,7.0,NE,2021-01-16 19:49:54,clear sky
244,Conceicao Da Barra,-18.5933,-39.7322,80.62,67,9,10.4,BR,2021-01-16 19:49:54,clear sky
245,Bambous Virieux,-20.3428,57.7575,80.6,83,75,11.5,MU,2021-01-16 19:49:54,broken clouds
246,Copiapo,-27.3667,-70.3333,71.6,53,20,12.66,CL,2021-01-16 19:47:30,few clouds
247,Bani Walid,31.7566,13.9942,50.77,65,50,10.07,LY,2021-01-16 19:49:55,scattered clouds
248,Granja,-3.1203,-40.8261,89.01,50,22,12.48,BR,2021-01-16 19:49:55,few clouds
249,Sumbe,-11.2061,13.8437,75.52,80,0,9.22,AO,2021-01-16 19:49:55,clear sky
250,Otjiwarongo,-20.4637,16.6477,67.66,85,100,9.89,NA,2021-01-16 19:49:55,moderate rain
251,Conde,-7.2597,-34.9075,84.2,61,20,14.97,BR,2021-01-16 19:49:55,few clouds
252,Rafai,4.95,23.9167,72.16,34,3,0.98,CF,2021-01-16 19:49:55,clear sky
253,East London,-33.0153,27.9116,71.02,66,0,19.37,ZA,2021-01-16 19:49:55,clear sky
254,Mizdah,31.4451,12.9801,47.73,64,7,9.08,LY,2021-01-16 19:49:55,clear sky
255,Hedaru,-4.5,37.9,72.82,80,0,2.98,TZ,2021-01-16 19:49:55,light rain
256,Inirida,3.8653,-67.9239,86.97,65,69,3.87,CO,2021-01-16 19:49:55,light rain
257,Wamba,8.9333,8.6,77.38,19,93,2.68,NG,2021-01-16 19:49:55,overcast clouds
258,Yenagoa,4.9247,6.2642,77.54,87,84,5.35,NG,2021-01-16 19:49:55,broken clouds
