City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Asmara,ER,53.2,clear sky,15.3333,38.9333,Hamasien Hotel
588,Asyut,EG,55.4,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
591,Sesheke,ZM,69.01,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
593,Mbeya,TZ,60.69,light rain,-8.9,33.45,Leda Lodge
595,Garowe,SO,71.6,clear sky,8.4054,48.4845,Curubo Hotel
596,Veraval,IN,68.09,clear sky,20.9,70.3667,Lords Inn Somnath
600,San Javier,ES,50.0,clear sky,37.8063,-0.8374,Hotel Mar Menor
601,Andilamena,MG,65.95,few clouds,-17.0167,48.5833,Police men home Andilamina
602,Bati,ET,59.38,clear sky,11.1833,40.0167,Adi 01 Kebele
603,Boende,CD,73.76,overcast clouds,-0.2167,20.8667,
604,Katsina,NG,69.6,clear sky,12.9894,7.6006,Katsina Motel
605,Gamboma,CG,76.53,light rain,-1.8764,15.8644,Residence N'Keni
607,Dunda,TZ,65.19,moderate rain,-8.1167,34.25,
608,Nikki,BJ,76.6,clear sky,9.9401,3.2108,Hotel John
610,Ribas Do Rio Pardo,BR,79.41,light rain,-20.4431,-53.7592,Pousada Avenida
613,Ankpa,NG,79.47,broken clouds,7.3706,7.6253,AA Suites
615,Ati,TD,75.88,clear sky,13.2154,18.3353,
616,Icod De Los Vinos,ES,64.99,few clouds,28.3724,-16.7119,Hotel Rural El Patio
617,Benguela,AO,75.85,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
619,Nanga Eboko,CM,73.09,few clouds,4.6833,12.3667,Motel Papi Palace
622,Eyl,SO,74.52,clear sky,7.9803,49.8164,Amiin Hotel
623,Ntungamo,UG,65.03,light rain,-0.8833,29.65,The Crested Crane Bwindi Hotel
624,Safaga,EG,62.6,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
625,Illela,NG,75.97,clear sky,13.7292,5.2975,
626,Kharan,PK,51.24,clear sky,28.5833,65.4167,Dil Aram Bangla
627,Beni Suef,EG,50.41,clear sky,29.0731,31.0979,Tolip Inn Beni Suef
628,Mafra,BR,73.0,scattered clouds,-26.1114,-49.8053,Hotel Emacite Flex
629,Oudtshoorn,ZA,66.2,broken clouds,-33.5907,22.2014,Earthbound Guest House
630,Mzimba,MW,63.5,overcast clouds,-11.9,33.6,Zagegs Hotel
633,Ofaqim,IL,52.0,clear sky,31.3141,34.6203,The Negev Experience
634,Monrovia,LR,78.8,few clouds,6.3005,-10.7969,Sunset Inn
638,Fenoarivo,MG,69.8,scattered clouds,-18.933,47.4354,Skyfol Ambodiafontsy
640,Dubti,ET,73.38,clear sky,11.7361,41.0853,degu Shiferaw
641,Susangerd,IR,53.6,scattered clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
643,Maringa,BR,77.34,light rain,-23.4253,-51.9386,Hotel Metrópole Maringá
644,Betafo,MG,65.53,overcast clouds,-19.8333,46.85,CHEZ MALALA
645,La Asuncion,VE,79.36,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
647,Tsogni,GA,77.2,overcast clouds,-2.7942,10.0988,
